B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
0.00000E+0	-8.70045E-3	5.00000E-5	2.37373E-2	4.74746E+2	2.03502E+2	2.05012E+2	2.99613E+4
0.00000E+0	-8.66311E-3	5.00000E-5	2.37373E-2	4.74746E+2	2.03500E+2	2.05012E+2	2.99731E+4
9.99980E-1	1.00396E+0	5.00000E-5	4.91891E-3	9.83783E+1	2.03501E+2	2.05006E+2	3.01995E+4
-9.99980E-1	-1.02147E+0	5.00000E-5	4.25928E-2	8.51856E+2	2.03500E+2	2.05002E+2	3.05014E+4
0.00000E+0	-8.62574E-3	5.00000E-5	2.37321E-2	4.74642E+2	2.03513E+2	2.05005E+2	3.07329E+4
