B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
0.00000E+0	-7.95083E-3	5.00000E-5	2.86920E-2	5.73841E+2	3.08504E+2	3.10024E+2	4.97397E+4
0.00000E+0	-8.02497E-3	5.00000E-5	2.86920E-2	5.73841E+2	3.08503E+2	3.10024E+2	4.97514E+4
9.99980E-1	9.63379E-1	5.00000E-5	1.06003E-2	2.12007E+2	3.08505E+2	3.10016E+2	4.99776E+4
-9.99980E-1	-9.78398E-1	5.00000E-5	4.69176E-2	9.38351E+2	3.08501E+2	3.10011E+2	5.02789E+4
0.00000E+0	-8.09912E-3	5.00000E-5	2.86878E-2	5.73755E+2	3.08513E+2	3.10007E+2	5.05115E+4
