B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
0.00000E+0	-9.03157E-3	5.00000E-5	2.62569E-2	5.25139E+2	1.73475E+2	1.75006E+2	2.30312E+4
0.00000E+0	-8.99409E-3	5.00000E-5	2.62569E-2	5.25139E+2	1.73479E+2	1.75004E+2	2.30427E+4
9.99980E-1	1.00380E+0	5.00000E-5	2.70516E-2	5.41031E+2	1.73504E+2	1.75006E+2	2.32681E+4
-9.99980E-1	-1.02161E+0	5.00000E-5	2.55685E-2	5.11370E+2	1.73501E+2	1.75006E+2	2.35685E+4
0.00000E+0	-8.99409E-3	5.00000E-5	2.62592E-2	5.25184E+2	1.73509E+2	1.75005E+2	2.37984E+4
