B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
0.00000E+0	-8.21034E-3	5.00000E-5	3.32088E-2	6.64176E+2	2.83510E+2	2.85033E+2	4.52216E+4
9.99980E-1	9.80946E-1	5.00000E-5	3.40332E-2	6.80663E+2	2.83502E+2	2.85019E+2	4.54595E+4
-9.99980E-1	-9.97566E-1	5.00000E-5	3.26218E-2	6.52436E+2	2.83502E+2	2.85015E+2	4.57601E+4
0.00000E+0	-8.35863E-3	5.00000E-5	3.32200E-2	6.64401E+2	2.83505E+2	2.85010E+2	4.59920E+4
