B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
0.00000E+0	-8.69782E-3	5.00000E-5	-2.35100E-2	-4.70199E+2	1.93467E+2	1.95005E+2	2.78363E+4
9.99980E-1	1.00410E+0	5.00000E-5	-4.23517E-2	-8.47033E+2	1.93497E+2	1.95004E+2	2.80747E+4
9.99980E-1	1.00406E+0	5.00000E-5	-4.23517E-2	-8.47033E+2	1.93499E+2	1.95008E+2	2.80864E+4
-9.99980E-1	-1.02170E+0	5.00000E-5	-4.62214E-3	-9.24427E+1	1.93506E+2	1.95005E+2	2.83760E+4
0.00000E+0	-8.84738E-3	5.00000E-5	-2.34941E-2	-4.69883E+2	1.93499E+2	1.95004E+2	2.86085E+4
