B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
0.00000E+0	-8.83330E-3	5.00000E-5	2.92791E-2	5.85582E+2	2.23494E+2	2.25011E+2	3.41064E+4
0.00000E+0	-8.79609E-3	5.00000E-5	2.92791E-2	5.85582E+2	2.23497E+2	2.25013E+2	3.41182E+4
9.99980E-1	1.00096E+0	5.00000E-5	3.00944E-2	6.01889E+2	2.23499E+2	2.25010E+2	3.43446E+4
-9.99980E-1	-1.01870E+0	5.00000E-5	2.86375E-2	5.72750E+2	2.23502E+2	2.25005E+2	3.46465E+4
0.00000E+0	-8.68439E-3	5.00000E-5	2.92879E-2	5.85759E+2	2.23507E+2	2.25005E+2	3.48760E+4
