B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
0.00000E+0	-8.24741E-3	5.00000E-5	-2.72998E-2	-5.45996E+2	2.83521E+2	2.85038E+2	4.51286E+4
9.99980E-1	9.80946E-1	5.00000E-5	-4.57705E-2	-9.15411E+2	2.83504E+2	2.85022E+2	4.53664E+4
9.99980E-1	9.80946E-1	5.00000E-5	-4.57705E-2	-9.15411E+2	2.83504E+2	2.85019E+2	4.53780E+4
-9.99980E-1	-9.97650E-1	5.00000E-5	-8.95239E-3	-1.79048E+2	2.83501E+2	2.85011E+2	4.56675E+4
0.00000E+0	-8.50692E-3	5.00000E-5	-2.73030E-2	-5.46059E+2	2.83497E+2	2.85008E+2	4.58988E+4
