B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
0.00000E+0	-9.38096E-3	5.00000E-5	4.32439E-2	8.64879E+2	5.98250E+1	6.80100E+1	5.86704E+4
9.99980E-1	9.95920E-1	5.00000E-5	4.40179E-2	8.80359E+2	5.84280E+1	6.54130E+1	5.89090E+4
