B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
0.00000E+0	-9.53153E-3	5.00000E-5	2.14707E-2	4.29413E+2	5.98980E+1	6.81780E+1	5.86552E+4
9.99980E-1	9.95879E-1	5.00000E-5	2.20061E-2	4.40122E+2	5.85110E+1	6.55500E+1	5.88973E+4
