B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
0.00000E+0	-9.08461E-3	5.00000E-5	2.27946E-2	4.55892E+2	1.44970E+1	1.55580E+1	6.58303E+4
0.00000E+0	-9.15993E-3	5.00000E-5	2.27946E-2	4.55892E+2	1.44960E+1	1.55580E+1	6.58421E+4
9.99980E-1	9.95519E-1	5.00000E-5	3.26777E-3	6.53555E+1	1.45010E+1	1.55590E+1	6.60684E+4
-9.99980E-1	-1.01275E+0	5.00000E-5	4.07158E-2	8.14315E+2	1.45010E+1	1.55520E+1	6.63688E+4
0.00000E+0	-9.27291E-3	5.00000E-5	2.27671E-2	4.55342E+2	1.45000E+1	1.55500E+1	6.65977E+4
