B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
-1.73570E-1	-1.83250E-1	5.00000E-5	2.59446E-2	5.18892E+2	4.49340E+0	6.29970E+0	6.42326E+4
0.00000E+0	-9.68719E-3	5.00000E-5	2.32641E-2	4.65283E+2	4.51120E+0	6.27310E+0	6.44068E+4
9.99980E-1	9.95732E-1	5.00000E-5	3.35710E-3	6.71420E+1	4.46890E+0	6.18760E+0	6.46449E+4
-9.99980E-1	-1.01319E+0	5.00000E-5	4.10059E-2	8.20118E+2	4.49960E+0	6.12490E+0	6.49458E+4
0.00000E+0	-9.38590E-3	5.00000E-5	2.32320E-2	4.64640E+2	4.50120E+0	6.09190E+0	6.51785E+4
