B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
-1.73570E-1	-1.83402E-1	5.00000E-5	4.39411E-2	8.78822E+2	4.48960E+0	6.29460E+0	6.42793E+4
0.00000E+0	-9.49888E-3	5.00000E-5	4.47448E-2	8.94896E+2	4.47760E+0	6.26180E+0	6.44537E+4
9.99980E-1	9.95519E-1	5.00000E-5	4.16965E-2	8.33930E+2	4.52340E+0	6.16290E+0	6.46919E+4
-9.99980E-1	-1.01332E+0	5.00000E-5	4.41860E-2	8.83720E+2	4.49580E+0	6.13110E+0	6.49923E+4
0.00000E+0	-9.27291E-3	5.00000E-5	4.47571E-2	8.95142E+2	4.51950E+0	6.10120E+0	6.52252E+4
