B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
0.00000E+0	-9.15993E-3	5.00000E-5	4.29713E-2	8.59427E+2	4.34740E+1	4.49950E+1	7.15202E+4
9.99980E-1	9.96243E-1	5.00000E-5	4.35759E-2	8.71518E+2	4.35000E+1	4.50010E+1	7.17584E+4
-9.99980E-1	-1.01390E+0	5.00000E-5	4.11534E-2	8.23069E+2	4.35000E+1	4.50000E+1	7.20594E+4
0.00000E+0	-9.23525E-3	5.00000E-5	4.29746E-2	8.59492E+2	4.35000E+1	4.50000E+1	7.22899E+4
