B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
-1.73570E-1	-1.83364E-1	5.00000E-5	4.39548E-2	8.79097E+2	4.48230E+0	6.29160E+0	6.42675E+4
0.00000E+0	-9.34824E-3	5.00000E-5	4.47784E-2	8.95568E+2	4.54770E+0	6.24430E+0	6.44418E+4
9.99980E-1	9.95604E-1	5.00000E-5	4.16989E-2	8.33978E+2	4.48600E+0	6.20410E+0	6.46801E+4
-9.99980E-1	-1.01328E+0	5.00000E-5	4.41471E-2	8.82942E+2	4.48020E+0	6.13100E+0	6.49804E+4
0.00000E+0	-9.34824E-3	5.00000E-5	4.47593E-2	8.95186E+2	4.47140E+0	6.07630E+0	6.52135E+4
