B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
-1.73570E-1	-1.83288E-1	5.00000E-5	-1.96443E-2	-3.92887E+2	4.48350E+0	6.31470E+0	6.42092E+4
0.00000E+0	-9.57420E-3	5.00000E-5	-2.34397E-2	-4.68794E+2	4.44770E+0	6.26160E+0	6.43834E+4
9.99980E-1	9.95732E-1	5.00000E-5	-4.12113E-2	-8.24225E+2	4.48740E+0	6.20060E+0	6.46214E+4
-9.99980E-1	-1.01328E+0	5.00000E-5	-3.56335E-3	-7.12670E+1	4.48230E+0	6.14920E+0	6.49223E+4
0.00000E+0	-9.57420E-3	5.00000E-5	-2.34495E-2	-4.68989E+2	4.50610E+0	6.09650E+0	6.51551E+4
