B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
-1.73570E-1	-1.83554E-1	5.00000E-5	4.34728E-2	8.69456E+2	4.48860E+0	6.30890E+0	6.43261E+4
0.00000E+0	-9.49888E-3	5.00000E-5	4.45717E-2	8.91434E+2	4.46640E+0	6.23930E+0	6.45003E+4
9.99980E-1	9.95860E-1	5.00000E-5	4.40559E-2	8.81119E+2	4.46860E+0	6.16540E+0	6.47388E+4
-9.99980E-1	-1.01328E+0	5.00000E-5	4.16640E-2	8.33280E+2	4.51820E+0	6.11550E+0	6.50393E+4
0.00000E+0	-9.31057E-3	5.00000E-5	4.46752E-2	8.93505E+2	4.53400E+0	6.08590E+0	6.52722E+4
