B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
-1.73570E-1	-1.83364E-1	5.00000E-5	4.35978E-2	8.71956E+2	4.57320E+0	6.25550E+0	6.43143E+4
0.00000E+0	-9.49888E-3	5.00000E-5	4.47752E-2	8.95505E+2	4.46800E+0	6.23840E+0	6.44887E+4
9.99980E-1	9.95689E-1	5.00000E-5	4.41732E-2	8.83465E+2	4.49320E+0	6.17720E+0	6.47270E+4
-9.99980E-1	-1.01328E+0	5.00000E-5	4.18136E-2	8.36272E+2	4.49670E+0	6.12760E+0	6.50274E+4
0.00000E+0	-9.38590E-3	5.00000E-5	4.47761E-2	8.95523E+2	4.42520E+0	6.04910E+0	6.52606E+4
