B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
0.00000E+0	-9.41845E-3	5.00000E-5	2.14894E-2	4.29787E+2	5.99590E+1	6.83230E+1	5.86435E+4
9.99980E-1	9.96092E-1	5.00000E-5	2.20252E-2	4.40504E+2	5.85790E+1	6.56630E+1	5.88858E+4
