B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
-1.73570E-1	-1.83097E-1	5.00000E-5	2.60026E-2	5.20053E+2	4.50750E+0	6.31660E+0	6.42209E+4
0.00000E+0	-9.57420E-3	5.00000E-5	2.32784E-2	4.65567E+2	4.51460E+0	6.23450E+0	6.43950E+4
9.99980E-1	9.95689E-1	5.00000E-5	3.37220E-3	6.74441E+1	4.45520E+0	6.18910E+0	6.46333E+4
-9.99980E-1	-1.01337E+0	5.00000E-5	4.10938E-2	8.21876E+2	4.50190E+0	6.12150E+0	6.49339E+4
0.00000E+0	-9.38590E-3	5.00000E-5	2.32729E-2	4.65458E+2	4.51120E+0	6.08700E+0	6.51668E+4
