B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
-1.73570E-1	-1.83402E-1	5.00000E-5	2.11102E-2	4.22205E+2	4.46660E+0	6.29550E+0	6.42559E+4
0.00000E+0	-9.49888E-3	5.00000E-5	2.13583E-2	4.27167E+2	4.46850E+0	6.24090E+0	6.44302E+4
9.99980E-1	9.95689E-1	5.00000E-5	1.98692E-2	3.97384E+2	4.51400E+0	6.19520E+0	6.46686E+4
-9.99980E-1	-1.01319E+0	5.00000E-5	2.14392E-2	4.28783E+2	4.50720E+0	6.11420E+0	6.49690E+4
0.00000E+0	-9.38590E-3	5.00000E-5	2.14024E-2	4.28048E+2	4.49550E+0	6.08990E+0	6.52019E+4
