B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
0.00000E+0	-9.38103E-3	5.00000E-5	4.32448E-2	8.64896E+2	5.97740E+1	6.78900E+1	5.86820E+4
9.99980E-1	9.95749E-1	5.00000E-5	4.40251E-2	8.80502E+2	5.83570E+1	6.52970E+1	5.89208E+4
