B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
-1.73570E-1	-1.83250E-1	5.00000E-5	-1.96983E-2	-3.93966E+2	4.44760E+0	6.29810E+0	6.41976E+4
0.00000E+0	-9.61186E-3	5.00000E-5	-2.34869E-2	-4.69738E+2	4.46270E+0	6.26450E+0	6.43718E+4
9.99980E-1	9.95647E-1	5.00000E-5	-4.12608E-2	-8.25216E+2	4.47210E+0	6.20950E+0	6.46097E+4
-9.99980E-1	-1.01315E+0	5.00000E-5	-3.62054E-3	-7.24108E+1	4.46800E+0	6.14420E+0	6.49105E+4
0.00000E+0	-9.46122E-3	5.00000E-5	-2.34800E-2	-4.69601E+2	4.48700E+0	6.10790E+0	6.51433E+4
