B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
-1.73570E-1	-1.83326E-1	5.00000E-5	2.06920E-2	4.13840E+2	4.51780E+0	6.29210E+0	6.42910E+4
0.00000E+0	-9.49888E-3	5.00000E-5	2.12539E-2	4.25077E+2	4.45000E+0	6.20790E+0	6.44652E+4
9.99980E-1	9.95689E-1	5.00000E-5	2.12610E-2	4.25221E+2	4.50450E+0	6.20240E+0	6.47035E+4
-9.99980E-1	-1.01346E+0	5.00000E-5	1.98092E-2	3.96183E+2	4.52800E+0	6.12620E+0	6.50040E+4
0.00000E+0	-9.23525E-3	5.00000E-5	2.12841E-2	4.25681E+2	4.48530E+0	6.07820E+0	6.52371E+4
