B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
-1.73570E-1	-1.83364E-1	5.00000E-5	2.07199E-2	4.14398E+2	4.44390E+0	6.29030E+0	6.43028E+4
0.00000E+0	-9.42356E-3	5.00000E-5	2.13132E-2	4.26263E+2	4.54610E+0	6.24840E+0	6.44770E+4
9.99980E-1	9.95732E-1	5.00000E-5	2.12666E-2	4.25332E+2	4.50320E+0	6.18120E+0	6.47153E+4
-9.99980E-1	-1.01341E+0	5.00000E-5	1.98074E-2	3.96148E+2	4.51040E+0	6.13150E+0	6.50156E+4
0.00000E+0	-9.31057E-3	5.00000E-5	2.13213E-2	4.26426E+2	4.47850E+0	6.08090E+0	6.52491E+4
