B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
-1.73570E-1	-1.83288E-1	5.00000E-5	2.08612E-2	4.17223E+2	4.51150E+0	6.29500E+0	6.42445E+4
0.00000E+0	-9.61186E-3	5.00000E-5	2.12214E-2	4.24428E+2	4.45870E+0	6.25180E+0	6.44185E+4
9.99980E-1	9.95647E-1	5.00000E-5	1.98538E-2	3.97077E+2	4.48920E+0	6.18650E+0	6.46567E+4
-9.99980E-1	-1.01324E+0	5.00000E-5	2.11652E-2	4.23305E+2	4.49130E+0	6.12290E+0	6.49573E+4
0.00000E+0	-9.31057E-3	5.00000E-5	2.12017E-2	4.24035E+2	4.48110E+0	6.07910E+0	6.51901E+4
